"Drug","MetaCardis_Fisher_P","Japanese-4D_Fisher_P","Fisher_Method_P","Fisher_Method_FDR","Significance","Combination_Method"
"Acarbose",1,1,1,1,"Not Significant","metap::sumlog"
"Allopurinol",0.767214068145557,1,0.970517677991478,1,"Not Significant","metap::sumlog"
"Alogliptin",1,1,1,1,"Not Significant","metap::sumlog"
"Amiodarone",1,1,1,1,"Not Significant","metap::sumlog"
"Amlodipine",1,1,1,1,"Not Significant","metap::sumlog"
"Apixaban",0.736734702232599,1,0.961827356084567,1,"Not Significant","metap::sumlog"
"Aspirin",1,1,1,1,"Not Significant","metap::sumlog"
"Atenolol",1,1,1,1,"Not Significant","metap::sumlog"
"Atorvastatin",1,1,1,1,"Not Significant","metap::sumlog"
"Azilsartan",1,1,1,1,"Not Significant","metap::sumlog"
"Bisoprolol",0.343569398569056,1,0.710627315566127,1,"Not Significant","metap::sumlog"
"Carvedilol",0.752434008980196,1,0.9664578297525,1,"Not Significant","metap::sumlog"
"Clopidogrel",0.0518517461438311,1,0.20530007536155,1,"Not Significant","metap::sumlog"
"Dapagliflozin",0.304105318038689,1,0.666106570435029,1,"Not Significant","metap::sumlog"
"Diltiazem",0.59595204839474,1,0.904413891116976,1,"Not Significant","metap::sumlog"
"Enalapril",1,1,1,1,"Not Significant","metap::sumlog"
"Esomeprazole",9.36683798017105e-07,2.94710713296499e-05,6.98767857123302e-10,2.93482499991787e-08,"FDR <= 0.05","metap::sumlog"
"Fenofibrate",0.215327166447756,1,0.545982853325313,1,"Not Significant","metap::sumlog"
"Fluvastatin",0.11771443156931,1,0.36956371149277,1,"Not Significant","metap::sumlog"
"Furosemide",0.0686880756244319,1,0.252647083093893,1,"Not Significant","metap::sumlog"
"Glibenclamide",1,1,1,1,"Not Significant","metap::sumlog"
"Gliclazide",0.866674550677011,1,0.990688525994588,1,"Not Significant","metap::sumlog"
"Indapamide",0.951235980357178,1,0.998791223495981,1,"Not Significant","metap::sumlog"
"Irbesartan",0.0587032733661626,1,0.225142303845814,1,"Not Significant","metap::sumlog"
"Lansoprazole",0.000150736980024997,5.99045689648803e-07,2.17870945911101e-09,4.57528986413312e-08,"FDR <= 0.05","metap::sumlog"
"Liraglutide",0.304105318038689,1,0.666106570435029,1,"Not Significant","metap::sumlog"
"Metformin",0.0697235193680698,1,0.255412421958531,1,"Not Significant","metap::sumlog"
"Metoprolol",1,1,1,1,"Not Significant","metap::sumlog"
"Nifedipine",0.130437952150628,1,0.396121489934741,1,"Not Significant","metap::sumlog"
"Olmesartan",8.14600020754848e-05,1,0.000848438377746423,0.00712688237306996,"FDR <= 0.05","metap::sumlog"
"Omeprazole",0.0518517461438311,0.000175727836332283,0.000114862750479837,0.00120605888003829,"FDR <= 0.05","metap::sumlog"
"Prasugrel",0.369894871969618,1,0.737768802417613,1,"Not Significant","metap::sumlog"
"Pravastatin",0.866674550677011,1,0.990688525994588,1,"Not Significant","metap::sumlog"
"Rabeprazole",0.00488416917936579,0.000175727836332283,1.28470855587964e-05,0.000179859197823149,"FDR <= 0.05","metap::sumlog"
"Repaglinide",1,1,1,1,"Not Significant","metap::sumlog"
"Rivaroxaban",1,1,1,1,"Not Significant","metap::sumlog"
"Rosuvastatin",0.391349953785458,1,0.758496124870177,1,"Not Significant","metap::sumlog"
"Sitagliptin",1,1,1,1,"Not Significant","metap::sumlog"
"Torasemide",0.391349953785458,1,0.758496124870177,1,"Not Significant","metap::sumlog"
"Verapamil",1,1,1,1,"Not Significant","metap::sumlog"
"Vildagliptin",0.348169288126903,1,0.715511025511205,1,"Not Significant","metap::sumlog"
"Warfarin",0.752971056435625,1,0.966610396982702,1,"Not Significant","metap::sumlog"
