"Cohort","Drug","focal_sig","focal_nonsig","others_sig","others_nonsig","Fisher_P","Fisher_FDR","Significance"
"Japanese-4D","Acarbose",0,8,4,147,1,1,"Not Significant"
"Japanese-4D","Allopurinol",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Alogliptin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Amiodarone",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Amlodipine",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Apixaban",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Aspirin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Atenolol",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Atorvastatin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Azilsartan",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Bisoprolol",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Carvedilol",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Clopidogrel",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Dapagliflozin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Diltiazem",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Enalapril",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Esomeprazole",5,3,6,145,2.94710713296499e-05,0.000618892497922647,"FDR <= 0.05"
"Japanese-4D","Fenofibrate",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Fluvastatin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Furosemide",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Glibenclamide",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Gliclazide",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Indapamide",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Irbesartan",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Lansoprazole",6,2,5,146,5.99045689648803e-07,2.51599189652497e-05,"FDR <= 0.05"
"Japanese-4D","Liraglutide",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Metformin",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Metoprolol",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Nifedipine",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Olmesartan",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Omeprazole",4,4,4,147,0.000175727836332283,0.00201288248889706,"FDR <= 0.05"
"Japanese-4D","Prasugrel",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Pravastatin",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Rabeprazole",4,4,4,147,0.000175727836332283,0.00201288248889706,"FDR <= 0.05"
"Japanese-4D","Repaglinide",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Rivaroxaban",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Rosuvastatin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Sitagliptin",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Torasemide",0,8,1,150,1,1,"Not Significant"
"Japanese-4D","Verapamil",0,8,0,151,1,1,"Not Significant"
"Japanese-4D","Vildagliptin",0,8,2,149,1,1,"Not Significant"
"Japanese-4D","Warfarin",0,8,0,151,1,1,"Not Significant"
"MetaCardis","Acarbose",0,52,6,836,1,1,"Not Significant"
"MetaCardis","Allopurinol",1,51,23,819,0.767214068145557,1,"Not Significant"
"MetaCardis","Alogliptin",0,52,3,839,1,1,"Not Significant"
"MetaCardis","Amiodarone",0,52,24,818,1,1,"Not Significant"
