"Cohort","Species","Row_Label","Esomeprazole","Olmesartan","Rabeprazole","Lansoprazole","Metformin","Clopidogrel","Omeprazole","Atorvastatin","Irbesartan","Rosuvastatin","Furosemide","Apixaban","Prasugrel","Amlodipine","Bisoprolol","Metoprolol","Vildagliptin","Allopurinol","Dapagliflozin","Diltiazem","Gliclazide","Liraglutide","Pravastatin","Torasemide","Amiodarone","Aspirin","Carvedilol","Enalapril","Fluvastatin","Indapamide","Rivaroxaban","Sitagliptin"
"Japanese-4D","Streptococcus_vestibularis","Japanese-4D | Streptococcus_vestibularis",1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Japanese-4D","Streptococcus_parasanguinis","Japanese-4D | Streptococcus_parasanguinis",1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Japanese-4D","Streptococcus_salivarius","Japanese-4D | Streptococcus_salivarius",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japanese-4D","Veillonella_parvula","Japanese-4D | Veillonella_parvula",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Japanese-4D","Streptococcus_thermophilus","Japanese-4D | Streptococcus_thermophilus",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Rothia_mucilaginosa","MetaCardis | Rothia_mucilaginosa",1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_parasanguinis","MetaCardis | Streptococcus_parasanguinis",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_oralis","MetaCardis | Streptococcus_oralis",1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_gordonii","MetaCardis | Streptococcus_gordonii",1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_infantium","MetaCardis | Veillonella_infantium",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_mutans","MetaCardis | Streptococcus_mutans",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"MetaCardis","Streptococcus_salivarius","MetaCardis | Streptococcus_salivarius",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_sp_T11011_6","MetaCardis | Veillonella_sp_T11011_6",1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_anginosus","MetaCardis | Streptococcus_anginosus",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_australis","MetaCardis | Streptococcus_australis",0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_equinus","MetaCardis | Streptococcus_equinus",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_infantis","MetaCardis | Streptococcus_infantis",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sobrinus","MetaCardis | Streptococcus_sobrinus",1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sp_F0442","MetaCardis | Streptococcus_sp_F0442",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_atypica","MetaCardis | Veillonella_atypica",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_parvula","MetaCardis | Veillonella_parvula",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MetaCardis","Streptococcus_cristatus","MetaCardis | Streptococcus_cristatus",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_downei","MetaCardis | Streptococcus_downei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_milleri","MetaCardis | Streptococcus_milleri",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_mitis","MetaCardis | Streptococcus_mitis",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sp_A12","MetaCardis | Streptococcus_sp_A12",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sp_HPH0090","MetaCardis | Streptococcus_sp_HPH0090",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_vestibularis","MetaCardis | Streptococcus_vestibularis",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_dispar","MetaCardis | Veillonella_dispar",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Veillonella_seminalis","MetaCardis | Veillonella_seminalis",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MetaCardis","Streptococcus_gallolyticus","MetaCardis | Streptococcus_gallolyticus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sanguinis","MetaCardis | Streptococcus_sanguinis",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MetaCardis","Streptococcus_sp_HMSC070B10","MetaCardis | Streptococcus_sp_HMSC070B10",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
