Display_Row,Taxon,Association_Score
CRC,Clostridium_innocuum,0.2222211111166666
CVD,Clostridium_innocuum,0.2499975000249997
T2D,Clostridium_innocuum,0.0
Parkinsons,Clostridium_innocuum,0.0
NAFLD_FLD,Clostridium_innocuum,0.0
Polyps,Clostridium_innocuum,0.0
CRC,Streptococcus_anginosus,0.111110000011111
CVD,Streptococcus_anginosus,0.2499975000249997
T2D,Streptococcus_anginosus,0.1666650000166665
Parkinsons,Streptococcus_anginosus,0.0
NAFLD_FLD,Streptococcus_anginosus,0.0
Polyps,Streptococcus_anginosus,0.0
CRC,Streptococcus_oralis,0.3333322222259259
CVD,Streptococcus_oralis,0.4999975000124999
T2D,Streptococcus_oralis,0.1666650000166665
Parkinsons,Streptococcus_oralis,-0.333330000033333
NAFLD_FLD,Streptococcus_oralis,0.0
Polyps,Streptococcus_oralis,0.0
CRC,Veillonella_parvula,0.111110000011111
CVD,Veillonella_parvula,0.0
T2D,Veillonella_parvula,0.0
Parkinsons,Veillonella_parvula,-0.333330000033333
NAFLD_FLD,Veillonella_parvula,0.0
Polyps,Veillonella_parvula,0.0
CRC,Eisenbergiella_tayi,0.111110000011111
CVD,Eisenbergiella_tayi,0.2499975000249997
T2D,Eisenbergiella_tayi,0.1666650000166665
Parkinsons,Eisenbergiella_tayi,0.0
NAFLD_FLD,Eisenbergiella_tayi,0.0
Polyps,Eisenbergiella_tayi,0.0
CRC,Bifidobacterium_dentium,0.111110000011111
CVD,Bifidobacterium_dentium,0.4999975000124999
T2D,Bifidobacterium_dentium,0.0
Parkinsons,Bifidobacterium_dentium,0.0
NAFLD_FLD,Bifidobacterium_dentium,0.0
Polyps,Bifidobacterium_dentium,0.0
CRC,Streptococcus_mutans,0.0
CVD,Streptococcus_mutans,0.2499975000249997
T2D,Streptococcus_mutans,0.0
Parkinsons,Streptococcus_mutans,0.6666633333499998
NAFLD_FLD,Streptococcus_mutans,-0.333330000033333
Polyps,Streptococcus_mutans,-0.1999980000199998
CRC,Streptococcus_vestibularis,0.0
CVD,Streptococcus_vestibularis,0.4999975000124999
T2D,Streptococcus_vestibularis,0.3333316666749999
Parkinsons,Streptococcus_vestibularis,0.0
NAFLD_FLD,Streptococcus_vestibularis,0.0
Polyps,Streptococcus_vestibularis,0.0
CRC,Streptococcus_gordonii,0.0
CVD,Streptococcus_gordonii,0.2499975000249997
T2D,Streptococcus_gordonii,0.0
Parkinsons,Streptococcus_gordonii,0.0
NAFLD_FLD,Streptococcus_gordonii,0.0
Polyps,Streptococcus_gordonii,0.0
CRC,Klebsiella_variicola,0.0
CVD,Klebsiella_variicola,0.2499975000249997
T2D,Klebsiella_variicola,0.0
Parkinsons,Klebsiella_variicola,0.0
NAFLD_FLD,Klebsiella_variicola,0.0
Polyps,Klebsiella_variicola,0.0
CRC,Rothia_mucilaginosa,0.111110000011111
CVD,Rothia_mucilaginosa,0.4999975000124999
T2D,Rothia_mucilaginosa,0.0
Parkinsons,Rothia_mucilaginosa,0.0
NAFLD_FLD,Rothia_mucilaginosa,0.333330000033333
Polyps,Rothia_mucilaginosa,0.0
CRC,Ruminococcaceae_bacterium_D5,0.111110000011111
CVD,Ruminococcaceae_bacterium_D5,0.0
T2D,Ruminococcaceae_bacterium_D5,0.0
Parkinsons,Ruminococcaceae_bacterium_D5,0.0
NAFLD_FLD,Ruminococcaceae_bacterium_D5,-0.333330000033333
Polyps,Ruminococcaceae_bacterium_D5,-0.1999980000199998
CRC,Coprobacillus_cateniformis,0.111110000011111
CVD,Coprobacillus_cateniformis,0.0
T2D,Coprobacillus_cateniformis,0.0
Parkinsons,Coprobacillus_cateniformis,0.333330000033333
NAFLD_FLD,Coprobacillus_cateniformis,0.333330000033333
Polyps,Coprobacillus_cateniformis,0.1999980000199998
CRC,Veillonella_sp_T11011_6,-0.111110000011111
CVD,Veillonella_sp_T11011_6,0.2499975000249997
T2D,Veillonella_sp_T11011_6,0.1666650000166665
Parkinsons,Veillonella_sp_T11011_6,0.0
NAFLD_FLD,Veillonella_sp_T11011_6,0.0
Polyps,Veillonella_sp_T11011_6,0.0
CRC,Veillonella_atypica,-0.111110000011111
CVD,Veillonella_atypica,0.2499975000249997
T2D,Veillonella_atypica,-0.1666650000166665
Parkinsons,Veillonella_atypica,0.0
NAFLD_FLD,Veillonella_atypica,0.333330000033333
Polyps,Veillonella_atypica,0.0
