"Display_Row","Drug","Cohort","Fisher_P","Fisher_FDR","Significance","Label"
"Combined both Cohorts (Fisher's Method)","Acarbose","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Allopurinol","Combined both Cohorts (Fisher's Method)",0.970517677991478,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Alogliptin","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Amiodarone","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Amlodipine","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Apixaban","Combined both Cohorts (Fisher's Method)",0.961827356084567,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Aspirin","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Atenolol","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Atorvastatin","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Azilsartan","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Bisoprolol","Combined both Cohorts (Fisher's Method)",0.710627315566127,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Carvedilol","Combined both Cohorts (Fisher's Method)",0.9664578297525,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Clopidogrel","Combined both Cohorts (Fisher's Method)",0.20530007536155,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Dapagliflozin","Combined both Cohorts (Fisher's Method)",0.666106570435029,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Diltiazem","Combined both Cohorts (Fisher's Method)",0.904413891116976,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Enalapril","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Esomeprazole","Combined both Cohorts (Fisher's Method)",6.98767857123302e-10,8.80447499975361e-08,"FDR <= 0.05","*"
"Combined both Cohorts (Fisher's Method)","Fenofibrate","Combined both Cohorts (Fisher's Method)",0.545982853325313,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Fluvastatin","Combined both Cohorts (Fisher's Method)",0.36956371149277,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Furosemide","Combined both Cohorts (Fisher's Method)",0.252647083093893,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Glibenclamide","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Gliclazide","Combined both Cohorts (Fisher's Method)",0.990688525994588,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Indapamide","Combined both Cohorts (Fisher's Method)",0.998791223495981,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Irbesartan","Combined both Cohorts (Fisher's Method)",0.225142303845814,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Lansoprazole","Combined both Cohorts (Fisher's Method)",2.17870945911101e-09,1.37258695923994e-07,"FDR <= 0.05","*"
"Combined both Cohorts (Fisher's Method)","Liraglutide","Combined both Cohorts (Fisher's Method)",0.666106570435029,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Metformin","Combined both Cohorts (Fisher's Method)",0.255412421958531,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Metoprolol","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Nifedipine","Combined both Cohorts (Fisher's Method)",0.396121489934741,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Olmesartan","Combined both Cohorts (Fisher's Method)",0.000848438377746423,0.00890860296633745,"FDR <= 0.05","*"
"Combined both Cohorts (Fisher's Method)","Omeprazole","Combined both Cohorts (Fisher's Method)",0.000114862750479837,0.00180908832005743,"FDR <= 0.05","*"
"Combined both Cohorts (Fisher's Method)","Prasugrel","Combined both Cohorts (Fisher's Method)",0.737768802417613,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Pravastatin","Combined both Cohorts (Fisher's Method)",0.990688525994588,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Rabeprazole","Combined both Cohorts (Fisher's Method)",1.28470855587964e-05,0.000323746556081668,"FDR <= 0.05","*"
"Combined both Cohorts (Fisher's Method)","Repaglinide","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Rivaroxaban","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Rosuvastatin","Combined both Cohorts (Fisher's Method)",0.758496124870177,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Sitagliptin","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Torasemide","Combined both Cohorts (Fisher's Method)",0.758496124870177,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Verapamil","Combined both Cohorts (Fisher's Method)",1,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Vildagliptin","Combined both Cohorts (Fisher's Method)",0.715511025511205,1,"Not Significant",""
"Combined both Cohorts (Fisher's Method)","Warfarin","Combined both Cohorts (Fisher's Method)",0.966610396982702,1,"Not Significant",""
"MetaCardis","Acarbose","MetaCardis",1,1,"Not Significant",""
"MetaCardis","Allopurinol","MetaCardis",0.767214068145557,1,"Not Significant",""
"MetaCardis","Alogliptin","MetaCardis",1,1,"Not Significant",""
