"Display_Row","Drug","Percentage","Cohort","Group","Total_Species","Sig_Count"
"All Others (Japanese-4D)","Acarbose",0.0264900662251656,"Japanese-4D","All Others",151,4
"All Others (Japanese-4D)","Allopurinol",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Alogliptin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Amiodarone",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Amlodipine",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Apixaban",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Aspirin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Atenolol",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Atorvastatin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Azilsartan",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Bisoprolol",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Carvedilol",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Clopidogrel",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Dapagliflozin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Diltiazem",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Enalapril",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Esomeprazole",0.0397350993377483,"Japanese-4D","All Others",151,6
"All Others (Japanese-4D)","Fenofibrate",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Fluvastatin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Furosemide",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Glibenclamide",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Gliclazide",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Indapamide",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Irbesartan",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Lansoprazole",0.033112582781457,"Japanese-4D","All Others",151,5
"All Others (Japanese-4D)","Liraglutide",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Metformin",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Metoprolol",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Nifedipine",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Olmesartan",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Omeprazole",0.0264900662251656,"Japanese-4D","All Others",151,4
"All Others (Japanese-4D)","Prasugrel",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Pravastatin",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Rabeprazole",0.0264900662251656,"Japanese-4D","All Others",151,4
"All Others (Japanese-4D)","Repaglinide",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Rivaroxaban",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Rosuvastatin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Sitagliptin",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Torasemide",0.00662251655629139,"Japanese-4D","All Others",151,1
"All Others (Japanese-4D)","Verapamil",0,"Japanese-4D","All Others",151,0
"All Others (Japanese-4D)","Vildagliptin",0.0132450331125828,"Japanese-4D","All Others",151,2
"All Others (Japanese-4D)","Warfarin",0,"Japanese-4D","All Others",151,0
"All Others (MetaCardis)","Acarbose",0.00712589073634204,"MetaCardis","All Others",842,6
"All Others (MetaCardis)","Allopurinol",0.0273159144893112,"MetaCardis","All Others",842,23
"All Others (MetaCardis)","Alogliptin",0.00356294536817102,"MetaCardis","All Others",842,3
